Net demand,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",19.71609646,19.66624268,19.68103183,19.69069732,19.72824341,19.6872012,24.15654441,33.25395617,33.31395617,34.08395617,34.61395617,31.84895617,30.30669574,28.17569446,26.05870749,25.62915777,31.58895617,30.72838916,28.17973343,27.61489497,27.28992975,21.0405913,15.00210592,14.21939618
"Scenario SB,  Case DL",15.95000002,15.95000002,15.95000002,15.95000001,15.95000001,15.95000001,19.14396525,28.23602056,28.29627252,29.06605688,29.61853293,26.88029102,25.27915548,23.16146525,21.04396525,20.61396525,26.56641187,25.70209411,23.18896525,22.6504049,22.27396525,16.04896525,10.0054049,9.849999888
"Scenario SB,  Case EH",19.45,19.45,19.45,19.45,19.45,19.2,24.14395618,33.25395618,33.31395618,34.08395618,34.61395618,31.84895618,30.29395618,28.16145618,26.04395618,25.61395618,31.58895618,30.72395618,28.16395618,27.59895618,27.27395618,21.02395618,14.95395618,14.2
"Scenario SB,  Case EL",16.2,15.7,15.95,16.18697831,15.74808803,15.83396526,19.14396526,28.22431694,28.31396526,29.08396526,29.59956872,26.82593088,25.26402178,23.16146526,21.04396526,20.61396526,26.57361127,25.68781436,23.16396526,22.59896526,22.27396526,16.02396526,9.953965256,9.85
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",19.19998824,19.24395614,18.7,18.7,18.7,18.7,24.14395614,30.45243444,30.47774474,30.68929374,31.13228529,30.14528263,29.75827004,28.16145614,26.04395615,25.61395615,30.53957682,30.13213933,28.16395614,27.59895614,27.27395614,21.02395615,14.95395616,14.11395615
"Scenario PD, Case E",19.18395618,19.24395618,18.45,18.45,18.45,18.45,24.14395618,30.68612217,30.37575616,32.38029406,31.66438632,29.7,29.42978143,28.16145618,26.04395618,25.61395618,29.7,29.64982515,28.16395618,27.59895618,27.2,20.83877377,14.95395618,14.11395618
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",19.45,19.45,19.45,19.45,19.45,19.45,24.28792136,33.33100121,33.39054401,34.16043554,34.6917436,31.94599171,30.43792137,28.30542137,26.18792137,25.75792137,31.70229668,30.86792137,28.30792137,27.74292137,27.41792137,21.16792137,15.09792136,14.25792136
"Scenario SHP,  Case DL",15.70000356,15.69997103,15.7000038,15.70000367,15.70000307,15.70000452,19,28.11,28.17,28.94,29.47,26.705,25.15,23.01749454,20.89999014,20.4699949,26.445,25.58,23.02,22.45497257,22.12999737,15.88,9.841053018,9.84999754
"Scenario SHP,  Case EH",19.45,19.45,19.45,19.45,19.45,19.45,24.28792143,33.35185261,33.45792143,34.10468711,34.65656985,31.91805954,30.43792143,28.30542143,26.18792143,25.75792143,31.73292143,30.86792143,28.30792143,27.74292143,27.41792143,21.16792143,15.09792143,14.25792143
"Scenario SHP,  Case EL",15.7,15.7,15.7,15.7,15.7,15.7,19,28.11,28.17,28.94,29.47,26.705,25.15,23.0175,20.9,20.47,26.445,25.58,23.02,22.455,22.13,15.88,9.85,9.857100737
